Hora,Modo_Operacao,PV_L1_kW,PV_L2_kW,PV_L3_kW,PV_Global_kW,Load_L1_kW,Load_L2_kW,Load_L3_kW,Load_Global_kW,Grid_Import_L1_kW,Grid_Import_L2_kW,Grid_Import_L3_kW,Grid_Import_Global_kW,Grid_Export_L1_kW,Grid_Export_L2_kW,Grid_Export_L3_kW,Grid_Export_Global_kW,Opt_BESS_kW,Setpoint_BESS_Global_kW,SOC_BESS_%,Energy_BESS_kWh,Fase_EV1,Alpha_EV1,Opt_EV1_kW,Setpoint_EV1_kW,SOC_EV1_%,Energy_EV1_kWh
12,ARB (Discharge),4.057,4.057,4.057,12.17,3.58,3.978,4.375,11.933,6.823,0.0,0.319,7.142,0.0,0.079,0.0,0.079,0.0,0.0,100.0,0.0,L1,1,-6.423,7.3,83.34,33.336
13,IDLE,4.718,4.718,4.718,14.155,3.315,3.683,4.052,11.05,0.0,0.0,0.0,0.0,1.403,1.035,0.667,3.105,0.0,0.0,100.0,0.0,L1,0,0.0,0.0,83.34,33.336
14,IDLE,5.002,5.002,5.002,15.007,2.828,3.143,3.457,9.428,0.0,0.0,0.0,0.0,2.174,1.86,1.545,5.579,0.0,0.0,100.0,0.0,L1,0,0.0,0.0,83.34,33.336
15,ARB (Charge),4.735,4.735,4.735,14.205,3.093,3.437,3.781,10.311,0.0,0.0,0.0,0.0,1.642,1.298,0.954,3.894,0.0,0.0,100.0,0.0,L1,0,6.9,0.0,83.34,33.336
16,ARB (Charge),4.238,4.238,4.238,12.714,3.374,3.748,4.123,11.245,0.0,0.0,0.0,0.0,0.864,0.49,0.115,1.469,0.0,0.0,100.0,0.0,L1,0,6.9,0.0,83.34,33.336
17,ARB (Charge),3.285,3.285,3.285,9.856,2.638,2.931,3.224,8.793,0.0,0.0,0.0,0.0,0.648,0.355,0.061,1.064,0.0,0.0,100.0,0.0,L1,0,6.9,0.0,83.34,33.336
18,ARB (Charge),2.096,2.096,2.096,6.287,1.83,2.033,2.237,6.1,0.0,0.0,0.141,0.141,0.266,0.062,0.0,0.328,0.0,0.0,100.0,0.0,L1,0,6.9,0.0,83.34,33.336
19,IDLE,0.89,0.89,0.89,2.67,1.313,1.459,1.605,4.377,0.423,0.569,0.715,1.708,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,0,0.0,0.0,83.34,33.336
20,IDLE,0.182,0.182,0.182,0.546,1.088,1.209,1.33,3.628,0.906,1.027,1.148,3.082,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,0,0.0,0.0,83.34,33.336
21,IDLE,0.02,0.02,0.02,0.059,1.123,1.247,1.372,3.742,1.103,1.228,1.352,3.683,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,0,0.0,0.0,83.34,33.336
22,IDLE,0.019,0.019,0.019,0.056,1.109,1.232,1.355,3.696,1.09,1.213,1.336,3.64,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,0,0.0,0.0,83.34,33.336
23,IDLE,0.021,0.021,0.021,0.063,1.153,1.281,1.41,3.844,1.132,1.26,1.389,3.781,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,0,0.0,0.0,83.34,33.336
24,IDLE,0.022,0.022,0.022,0.065,1.09,1.211,1.332,3.632,1.068,1.189,1.31,3.567,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,L1,0,0.0,0.0,83.34,33.336
